3819	2	0	0	1	0	0	0	0	1	0	0	.	0	70.05	78.52	78.77	0.67	0	0.89	0
5881	2	0	0	1	1	1	1	1	0	0	1	1	1	59.36	72.06	75.05	1	1	0.89	0
1435	2	1	0	0	0	0	0	0	.	.	.	.	.	68.47	.	.	1	1	1	1
5278	2	1	1	0	0	0	0	0	0	0	0	0	0	61.66	70	90.01	1	1	0.86	0
6693	2	1	0	1	1	0	0	1	1	1	1	1	1	69.87	74.47	80.02	0.33	0	0.56	0
4294	2	1	0	0	0	0	0	0	0	0	0	0	0	64.22	61.9	79.07	1	1	0.78	0
1194	2	1	0	1	0	0	1	0	1	1	1	0	0	57.04	67.42	.	1	1	1	1
5682	2	1	0	0	0	0	0	0	1	1	1	1	1	60.13	.	84.56	1	1	0.56	0
6485	2	0	0	1	0	0	0	1	1	0	0	0	0	60.66	72.15	.	0	0	0	0
4938	2	0	0	1	1	1	0	1	1	0	0	.	0	71.66	86.79	.	0	0	0	0
2630	2	1	0	0	0	1	0	0	0	0	0	0	0	59.61	64.52	69.56	0.33	0	0.44	0
6080	2	1	0	0	0	0	0	0	0	0	0	0	0	55.06	63.96	75.09	0.33	0	0.56	0
1730	2	1	0	0	0	0	0	0	0	0	0	0	0	61.99	62.71	69.11	1	1	0.78	0
5280	2	1	0	0	0	0	0	0	1	0	1	0	0	60.09	63.67	69.66	1	1	0.88	0
2204	2	1	0	1	1	1	1	1	1	1	1	1	0	58.98	65.77	.	1	1	1	1
6715	2	1	1	0	0	0	1	0	1	0	0	0	0	57.98	68.85	78.24	.	.	0.83	0
1442	2	1	.	0	0	0	0	0	.	.	.	.	.	47.5	.	.	.	.	.	.
6821	2	0	0	1	1	1	0	1	0	0	0	0	0	47.49	56.32	.	0.67	0	0.44	0
2041	2	0	0	1	1	1	1	1	1	1	1	1	0	55.03	54.26	68.9	1	1	0.86	0
4888	2	0	1	1	1	1	0	1	1	1	0	0	1	66.3	82.49	91.44	0.67	0	0.75	0
3329	2	0	0	1	1	0	1	1	0	0	1	1	1	51.44	62.68	60.98	1	1	1	1
1915	2	1	1	1	1	1	0	0	.	.	.	.	.	55.65	.	84.05	0.67	0	0.89	0
4768	2	1	0	0	0	1	0	1	0	0	1	0	1	56.52	54.4	56.16	0.67	0	0.56	0
